ags,47173847,8813,-262,4794,10,-70,-12
ags,47173848,8788,-289,4735,4,-76,-12
ags,47173849,8744,-306,4718,4,-76,0
ags,47173850,8800,-279,4733,4,-94,-12
ags,47173851,8847,-284,4791,-14,-100,-6
ags,47173852,8886,-306,4830,-26,-82,0
ags,47173853,8864,-236,4774,-26,-76,18
ags,47173854,8886,-219,4752,-32,-76,6
ags,47173855,8854,-222,4762,-44,-70,-12
ags,47173856,8827,-279,4711,-44,-64,-12
ags,47173857,8825,-296,4647,-32,-57,-12
ags,47173858,8881,-234,4672,-38,-57,0
ags,47173859,8918,-239,4684,-69,-51,6
ags,47173860,8881,-316,4701,-62,-39,0
ags,47173861,8856,-257,4743,-56,-33,6
ags,47173862,8898,-205,4786,-69,-33,24
ags,47173863,8886,-262,4733,-75,-33,18
ags,47173864,8898,-313,4740,-75,-33,12
ags,47173865,8925,-301,4711,-62,-21,6
ags,47173866,8861,-282,4703,-62,-3,0
ags,47173867,8886,-335,4784,-75,-3,12
ags,47173868,8937,-304,4733,-87,-9,12
ags,47173869,8915,-287,4750,-93,-15,0
ags,47173870,8935,-296,4772,-87,-9,-12
ags,47173871,8925,-260,4721,-87,-3,-12
ags,47173872,8918,-291,4723,-87,16,-6
ags,47173873,8932,-277,4721,-87,22,0
ags,47173874,8939,-304,4743,-105,16,-6
ags,47173875,8969,-335,4730,-99,16,6
ags,47173876,8932,-313,4735,-93,16,0
ags,47173877,8900,-331,4764,-99,10,-12
ags,47173878,8927,-309,4716,-99,16,-6
ags,47173879,8888,-316,4784,-99,16,0
ags,47173880,8905,-282,4813,-99,10,-6
ags,47173881,8913,-279,4804,-111,16,0
ags,47173882,8979,-250,4821,-111,16,0
ags,47173883,8927,-348,4784,-105,16,-24
ags,47173884,8922,-262,4782,-99,22,-18
ags,47173885,8915,-260,4782,-99,10,-6
ags,47173886,8913,-282,4808,-99,-3,6
ags,47173887,8915,-248,4816,-105,46,-6
ags,47173888,8910,-222,4789,-105,52,-12
ags,47173889,8854,-306,4796,-111,-76,-6
ags,47173890,8854,-306,4786,-117,28,-6
ags,47173891,8888,-340,4835,-130,-21,-12
ags,47173892,8874,-291,4911,-117,-39,-12
ags,47173893,8886,-333,4906,-93,52,0
ags,47173894,8852,-374,4764,-87,-70,0
ags,47173895,8832,-367,4782,-81,10,0
ags,47173896,8847,-372,4772,-93,22,-12
ags,47173897,8883,-321,4779,-93,-94,-12
